"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"V43",2,1,1,4,2,9,8,5,10,5
"V44",7,5,9,1,7,4,10,9,7,6
"V45",4,9,6,2,6,3,9,1,2,3
"V46",5,7,6,9,4,5,5,8,8,4
"V47",7,7,6,4,9,4,2,4,3,8
"V48",5,6,5,4,2,8,7,2,5,4
"V49",4,3,8,7,10,4,10,1,2,10
"V50",6,9,9,7,2,8,5,5,5,4
"V51",7,9,3,5,2,10,10,4,7,2
"V52",4,8,1,4,5,5,5,2,2,10
"V53",9,10,8,9,4,4,2,10,10,8
"V54",6,8,2,1,2,9,6,1,10,3
"V55",8,6,8,8,4,9,4,9,6,8
"V56",9,6,1,4,6,10,7,8,2,3
"V57",7,4,3,3,4,5,9,2,10,2
"V58",8,2,5,1,8,2,6,5,8,10
"V59",7,8,1,6,9,6,6,1,7,2
"V60",9,7,8,10,2,6,3,2,9,1
"V61",7,4,5,7,1,9,8,8,1,5
"V62",9,4,1,3,4,6,4,4,4,3
"V63",4,2,7,4,9,2,5,4,5,8
"V64",7,4,9,10,6,10,1,9,6,9
"V65",3,5,1,10,5,6,10,2,1,3
"V66",1,8,5,5,1,6,4,4,7,6
"V67",5,5,9,2,6,7,8,3,7,8
"V68",4,4,4,6,6,10,6,2,3,10
"V69",6,7,10,7,10,3,9,5,8,7
"V70",2,1,1,4,4,7,4,4,8,1
"V71",2,6,9,6,8,7,5,1,10,10
"V72",5,4,1,10,10,5,6,9,9,4
"V73",4,5,9,6,5,2,6,7,7,9
"V74",2,7,9,10,2,7,3,6,6,10
"V75",6,7,9,7,4,7,9,8,7,4
"V76",3,9,1,1,3,4,5,8,4,6
"V77",2,1,7,5,1,5,1,9,2,7
"V78",1,8,9,9,3,8,1,6,7,5
"V79",4,2,6,10,4,6,9,7,6,7
"V80",6,8,6,10,5,1,2,4,9,6
"V81",9,4,5,5,9,9,4,7,4,1
"V82",2,9,1,4,7,7,5,7,6,1
"V83",2,7,2,1,7,9,6,9,4,1
"V84",9,1,1,1,6,8,10,9,8,5
"V85",7,1,3,2,3,10,7,7,1,9
"V86",4,10,5,2,4,2,1,6,6,7
"V87",5,7,8,4,10,6,6,5,2,5
"V88",5,6,8,5,3,9,9,6,10,2
"V89",3,7,5,9,7,7,1,6,7,5
"V90",8,6,9,8,6,3,9,10,9,7
"V91",9,9,10,10,3,3,6,8,3,10
"V92",6,4,4,3,10,4,4,8,10,9
"V93",5,1,1,3,1,6,7,7,8,2
"V94",9,1,1,1,10,5,5,10,10,10
"V95",8,7,3,9,4,8,2,2,1,3
"V96",2,5,5,3,4,9,9,3,6,4
"V97",8,6,3,8,1,9,2,1,10,10
"V98",10,3,2,10,8,7,4,10,3,9
"V99",7,9,7,1,3,1,3,9,10,1
"V100",5,6,5,3,7,5,8,7,1,5
"V101",4,8,2,4,2,6,4,3,8,6
"V102",10,10,7,4,7,8,1,3,7,10
"V103",4,6,10,1,3,10,4,1,4,3
"V104",3,6,2,5,8,6,1,10,2,8
"V105",4,1,4,7,3,5,8,8,8,9
"V106",1,4,2,1,3,7,3,10,8,2
"V107",6,1,2,6,5,5,6,8,6,3
"V108",3,10,5,2,9,10,3,10,1,7
"V109",1,10,2,5,2,1,8,2,1,7
"V110",4,2,2,4,3,8,1,2,7,1
"V111",7,1,1,1,7,6,7,9,1,7
"V112",9,3,4,10,3,4,5,10,6,3
"V113",1,1,8,3,7,3,8,4,8,10
"V114",5,7,5,9,7,10,1,4,4,8
"V115",6,5,1,2,9,2,3,9,3,6
"V116",6,6,7,6,4,10,9,10,2,9
"V117",4,3,7,9,8,2,1,3,3,3
"V118",6,4,1,3,5,6,4,7,3,1
"V119",8,8,8,10,1,7,2,4,5,10
"V120",10,7,4,7,2,6,4,3,2,8
"V121",3,1,7,3,10,6,9,1,8,1
"V122",4,8,4,8,4,7,10,10,8,1
"V123",10,2,10,10,7,7,9,5,5,7
"V124",6,10,4,3,4,6,6,5,5,4
"V125",7,3,10,9,8,8,6,5,8,8
"V126",8,4,8,2,5,7,8,3,4,3
"V127",7,9,8,7,4,8,2,7,5,2
"V128",7,7,2,10,7,4,10,4,8,8
"V129",7,6,5,2,9,1,3,8,6,2
"V130",3,1,9,9,1,6,6,10,1,9
"V131",5,10,1,7,9,5,4,10,4,4
"V132",3,10,8,6,6,4,6,2,5,7
"V133",3,1,4,9,4,8,4,10,6,5
"V134",5,5,10,10,3,4,10,2,10,10
"V135",1,8,3,10,7,8,7,3,6,6
"V136",10,8,9,7,9,6,3,9,3,2
"V137",8,9,2,7,5,3,3,3,1,5
"V138",8,7,3,5,2,8,7,1,5,9
"V139",9,1,1,6,9,3,4,4,6,9
"V140",4,10,2,7,4,10,8,7,2,6
"V141",9,3,10,6,3,6,6,3,6,8
"V142",6,3,3,4,1,7,8,1,3,6
"V143",6,5,7,7,8,1,9,7,4,5
"V144",7,9,1,4,5,7,8,9,3,5
"V145",6,6,9,4,1,10,8,4,1,2
"V146",8,2,2,8,10,2,8,2,5,6
"V147",4,7,6,3,1,3,3,4,7,4
"V148",3,1,1,2,5,2,8,6,2,8
"V149",9,9,2,4,6,10,6,4,3,8
"V150",5,5,6,5,9,1,10,3,6,9
"V151",3,9,2,2,9,5,3,9,8,10
"V152",6,6,5,8,10,8,8,2,3,10
"V153",3,2,2,10,6,2,6,8,4,8
"V154",3,2,2,1,5,9,9,6,8,10
"V155",2,1,5,5,1,8,7,9,2,9
"V156",4,10,6,2,7,8,1,6,4,6
"V157",5,9,3,2,2,8,9,6,8,3
"V158",4,3,6,10,9,7,7,1,3,4
"V159",9,3,8,3,10,2,7,1,8,9
"V160",7,7,4,2,7,9,6,8,3,7
"V161",4,9,10,4,4,1,5,5,7,3
"V162",3,5,10,2,6,4,3,2,1,7
"V163",6,8,1,2,10,9,1,3,4,4
"V164",6,3,7,9,6,5,9,6,6,9
"V165",4,7,9,8,9,3,9,5,2,5
"V166",3,9,8,5,10,2,4,2,7,9
"V167",8,4,1,6,5,7,7,9,4,5
"V168",4,5,1,6,9,10,3,8,2,2
"V169",7,8,3,6,2,7,9,8,7,6
"V170",2,8,2,7,4,4,6,7,8,6
"V171",2,1,4,2,8,4,9,6,5,7
"V172",5,2,4,1,7,3,5,2,1,9
"V173",1,4,10,10,9,7,4,7,4,7
"V174",6,4,5,9,3,2,5,7,6,8
"V175",4,4,5,8,3,9,8,3,3,3
"V176",2,6,8,10,9,6,5,5,7,10
"V177",8,4,2,1,9,9,7,10,1,1
"V178",5,9,3,4,7,3,6,5,2,6
"V179",10,8,5,9,10,10,9,6,8,7
"V180",5,10,6,5,3,4,2,7,8,2
"V181",2,6,1,8,4,4,8,2,1,3
"V182",3,7,4,10,4,6,2,2,3,6
"V183",7,10,6,10,5,1,3,2,9,4
"V184",3,8,1,9,9,2,2,3,2,2
"V185",4,1,8,4,5,10,7,4,5,3
"V186",6,4,3,3,1,9,8,9,5,8
"V187",1,2,2,7,9,6,7,8,5,6
"V188",9,9,5,7,10,6,2,10,7,6
"V189",2,5,7,1,2,9,1,2,4,5
"V190",7,4,4,7,3,3,5,4,6,7
"V191",2,5,1,2,10,6,7,1,2,5
"V192",8,4,9,9,5,1,2,4,4,3
"V193",3,2,7,6,9,7,6,6,2,2
"V194",2,1,6,5,7,9,3,3,9,7
"V195",2,9,10,5,5,2,5,5,5,2
"V196",8,7,2,6,7,5,7,9,3,8
"V197",10,2,4,4,3,2,10,6,2,7
"V198",8,2,6,7,5,9,8,6,5,8
"V199",1,6,6,6,7,10,5,1,10,10
"V200",9,5,9,7,6,10,7,6,7,2
"V201",6,9,4,8,1,1,2,10,8,9
"V202",1,7,6,2,5,10,7,3,1,8
"V203",8,2,5,5,6,9,6,1,8,2
"V204",5,6,9,4,8,8,9,3,4,5
"V205",5,7,4,1,6,10,1,6,6,6
"V206",9,7,3,10,6,5,7,6,8,8
"V207",4,8,10,3,8,3,7,6,3,10
"V208",6,7,6,2,3,5,2,7,7,7
"V209",6,7,8,6,7,7,9,2,7,4
"V210",3,8,6,10,5,2,4,10,2,3
"V211",4,3,7,10,9,7,4,2,7,2
"V212",8,5,4,6,5,7,5,6,4,8
"V213",9,6,9,1,10,9,8,2,6,8
"V214",7,5,7,6,8,2,2,4,5,10
"V215",3,6,9,9,3,5,6,4,7,10
"V216",3,6,1,3,7,2,2,4,4,10
"V217",7,4,3,2,9,7,8,8,8,1
"V218",10,8,2,1,2,3,10,9,7,10
"V219",4,3,6,1,4,7,4,6,4,1
"V220",8,1,8,3,9,4,5,9,4,7
"V221",4,3,1,4,10,3,3,1,3,3
"V222",7,3,8,9,6,10,1,2,4,5
"V223",8,6,6,5,3,10,7,1,2,3
"V224",5,4,5,2,6,7,5,4,3,7
"V225",8,10,5,6,10,5,4,3,9,8
"V226",9,3,9,8,7,6,6,9,5,3
"V227",3,6,3,10,1,4,7,7,1,7
"V228",5,8,1,3,9,6,10,2,5,6
"V229",3,2,1,6,2,4,4,1,10,6
"V230",3,9,5,10,7,9,7,1,5,1
"V231",10,10,8,7,1,9,9,1,7,9
"V232",3,5,3,4,9,7,8,6,9,2
"V233",9,3,5,10,8,8,9,5,10,3
"V234",5,3,3,3,2,8,10,3,8,10
"V235",5,5,2,8,4,4,6,6,2,2
"V236",1,7,10,3,10,5,1,4,4,9
"V237",4,2,7,8,4,1,4,4,1,7
"V238",4,1,7,2,6,10,8,1,6,6
"V239",5,8,9,9,9,10,4,7,2,6
"V240",4,3,5,1,1,1,8,7,6,9
"V241",9,2,5,2,3,2,1,1,7,9
"V242",10,1,2,4,10,10,2,8,1,7
"V243",6,9,1,3,2,3,1,4,1,3
"V244",2,6,1,8,9,5,9,2,2,9
"V245",1,4,2,7,6,2,9,4,10,7
"V246",8,3,9,4,4,4,2,4,1,2
"V247",9,6,3,4,2,9,5,2,6,4
"V248",1,4,4,2,7,5,8,3,8,5
"V249",3,6,8,3,6,5,9,6,6,4
"V250",7,1,7,1,7,10,10,8,10,6
"V251",9,9,2,2,2,5,7,1,7,5
"V252",6,8,1,3,8,8,9,2,5,8
"V253",1,6,6,3,4,8,7,3,5,6
"V254",1,7,6,3,3,7,9,9,1,5
"V255",6,1,7,10,4,2,4,2,9,8
"V256",8,3,5,3,6,8,4,10,2,6
"V257",5,3,2,10,1,4,10,3,1,6
"V258",7,1,8,8,5,2,5,7,7,7
"V259",4,1,4,3,4,8,3,7,3,9
"V260",9,6,2,6,3,2,7,2,8,4
"V261",7,3,9,4,3,2,4,4,5,1
"V262",6,10,5,1,3,6,9,1,4,10
"V263",7,6,9,6,7,10,4,2,6,4
"V264",6,4,6,5,1,3,1,10,9,2
"V265",5,10,3,9,2,1,3,5,2,8
"V266",2,9,7,9,5,6,6,2,6,10
"V267",8,2,3,2,8,4,8,6,10,5
"V268",8,7,8,5,6,6,5,9,5,6
"V269",5,9,5,5,5,4,6,2,7,7
"V270",7,4,6,9,10,4,3,6,1,4
"V271",1,2,2,2,2,5,9,4,2,1
"V272",6,1,1,9,7,1,2,1,9,3
"V273",3,1,3,2,3,3,2,8,5,9
"V274",6,3,2,5,3,9,1,6,3,9
"V275",4,8,2,4,2,7,6,2,10,2
"V276",9,4,10,8,2,3,9,4,10,3
"V277",3,8,10,1,4,3,7,9,1,9
"V278",4,3,6,7,1,6,9,5,7,5
"V279",9,8,10,1,7,3,1,10,4,10
"V280",1,1,5,8,5,9,3,8,6,8
"V281",5,10,8,2,8,7,1,2,1,8
"V282",6,7,6,1,3,10,1,1,3,2
"V283",9,5,9,4,10,7,6,5,9,7
"V284",3,7,4,2,6,4,4,4,6,7
"V285",7,4,2,6,10,4,4,5,5,7
"V286",1,5,1,1,8,3,10,4,9,3
"V287",8,2,1,10,1,8,8,1,8,10
"V288",5,10,6,9,7,1,4,5,2,5
"V289",9,7,7,5,1,9,5,6,10,4
"V290",9,6,10,1,5,5,1,3,3,10
"V291",7,7,6,5,1,6,3,10,1,2
"V292",8,3,2,3,9,6,10,10,4,8
"V293",4,4,3,1,5,6,6,5,9,5
"V294",5,10,8,5,1,10,2,4,4,2
"V295",5,3,2,9,9,10,6,1,4,4
"V296",9,3,4,9,5,10,10,4,9,4
"V297",5,5,7,9,4,4,2,5,8,8
"V298",2,6,7,10,1,8,3,9,9,5
"V299",5,5,5,1,2,7,2,10,7,7
"V300",2,3,7,6,5,2,2,1,1,4
"V301",1,1,8,4,3,8,8,5,9,10
"V302",3,1,4,7,9,5,8,2,4,6
"V303",10,10,1,3,8,9,9,4,5,5
"V304",3,7,1,5,2,6,3,9,8,5
"V305",3,2,5,1,4,3,8,9,2,7
"V306",2,10,2,9,3,5,8,7,6,2
"V307",7,3,6,6,6,5,3,1,2,1
"V308",3,5,5,9,3,10,8,2,6,7
"V309",4,9,4,2,8,5,2,3,3,7
"V310",5,5,9,3,5,7,3,7,3,1
"V311",10,6,7,6,6,1,1,3,4,6
"V312",8,3,9,4,3,6,2,7,4,1
"V313",10,2,2,10,2,10,8,3,2,5
"V314",6,3,10,5,8,4,5,9,6,8
"V315",7,7,7,9,9,6,7,3,9,4
"V316",2,2,4,10,3,3,4,4,5,9
"V317",4,2,7,5,3,7,10,9,1,6
"V318",9,9,4,5,8,5,10,6,2,9
"V319",2,8,5,10,5,5,8,5,2,9
"V320",5,6,3,1,7,7,5,4,5,10
"V321",9,7,2,5,3,9,9,1,7,2
"V322",9,2,8,8,10,3,3,9,2,1
"V323",7,8,4,6,1,7,9,6,9,3
"V324",3,2,4,9,7,5,2,5,8,9
"V325",1,4,6,1,2,5,9,8,1,7
"V326",7,2,10,7,4,10,3,5,7,5
"V327",1,2,8,3,10,7,7,8,4,4
"V328",1,6,7,10,5,5,1,7,2,1
"V329",3,5,4,5,6,5,9,1,8,8
"V330",2,3,2,2,10,9,10,10,5,10
"V331",7,4,4,1,10,4,8,4,7,1
"V332",4,4,6,7,1,2,5,6,8,7
"V333",7,7,8,7,10,10,9,10,7,6
"V334",8,3,2,8,10,7,6,1,4,6
"V335",6,4,7,9,4,1,9,6,6,1
"V336",10,10,7,4,7,7,1,9,1,9
"V337",8,8,3,3,3,7,5,7,9,1
"V338",3,7,1,4,5,8,6,1,4,6
"V339",6,1,4,1,5,8,9,1,5,10
"V340",1,8,6,2,4,1,1,3,10,9
"V341",5,8,8,2,6,2,5,7,8,2
"V342",1,6,8,6,7,9,4,2,3,10
"V343",1,6,4,5,2,10,3,2,4,3
"V344",9,1,1,1,2,3,9,2,8,2
"V345",2,9,10,10,10,7,8,8,5,10
"V346",7,9,6,7,10,4,2,8,1,10
"V347",3,1,5,7,8,5,3,10,2,4
"V348",8,4,4,9,7,7,7,5,5,2
"V349",6,2,7,9,5,7,5,3,3,3
"V350",5,9,10,1,3,4,6,10,6,3
"V351",9,1,8,8,1,2,7,8,5,6
"V352",2,7,1,2,3,5,5,6,9,10
"V353",4,3,5,4,9,1,2,4,4,5
"V354",8,7,5,3,2,5,8,5,9,4
"V355",1,10,2,1,8,8,1,2,1,2
"V356",3,6,7,3,9,9,2,5,1,4
"V357",6,4,3,2,6,2,6,5,2,8
"V358",6,9,8,1,3,2,10,3,10,3
"V359",8,1,5,10,5,8,5,1,5,2
"V360",2,4,5,3,6,5,6,8,9,10
"V361",8,4,10,10,4,9,6,9,7,2
"V362",8,6,9,9,5,3,1,1,9,6
"V363",2,9,2,1,10,1,1,4,6,8
"V364",1,5,9,4,10,7,4,7,3,4
"V365",4,4,3,7,10,10,3,8,10,5
"V366",9,10,2,3,4,3,6,4,5,7
"V367",2,6,10,10,10,7,6,4,4,1
"V368",1,6,10,10,1,2,2,9,3,10
"V369",6,1,1,7,9,6,5,5,7,6
"V370",7,5,9,7,10,9,3,10,3,10
"V371",4,7,10,10,10,3,3,5,2,10
"V372",1,8,7,8,9,10,8,8,10,3
"V373",7,5,5,8,7,6,2,7,3,2
"V374",2,6,1,1,7,7,6,3,4,1
"V375",9,5,5,4,6,4,1,1,10,6
"V376",4,3,6,5,3,2,7,3,10,1
"V377",9,2,6,1,1,1,3,6,10,10
"V378",5,7,3,6,5,10,10,5,3,3
"V379",1,1,5,10,2,4,5,6,5,1
"V380",6,3,3,1,4,2,5,6,9,1
"V381",6,1,3,6,10,3,7,10,1,10
"V382",1,8,5,5,7,4,1,2,8,1
"V383",7,10,5,4,8,7,1,10,3,8
"V384",1,4,3,1,3,8,9,4,4,8
"V385",1,4,4,2,3,1,1,7,6,9
"V386",6,7,6,3,8,4,3,10,1,1
"V387",5,6,3,6,1,9,8,4,4,7
"V388",7,6,3,1,10,1,5,7,10,2
"V389",10,10,6,2,3,4,1,7,7,3
"V390",6,3,5,10,10,7,8,4,6,4
"V391",2,6,4,10,7,2,3,4,6,6
"V392",1,10,6,2,5,3,1,6,1,4
"V393",8,4,2,3,6,7,5,7,4,7
"V394",9,9,1,6,6,7,8,4,9,3
"V395",6,7,3,3,2,10,1,5,7,2
"V396",2,9,3,10,5,2,7,3,7,10
"V397",1,8,2,8,2,1,10,8,3,7
"V398",10,7,3,5,3,3,10,4,7,9
"V399",7,7,10,6,7,6,8,1,9,8
"V400",10,5,9,5,2,1,3,3,4,2
"V401",8,7,9,8,8,7,3,1,9,6
"V402",4,6,8,6,7,10,3,3,2,7
"V403",7,7,5,5,8,3,8,1,3,5
"V404",9,9,7,8,6,6,6,2,2,10
"V405",1,9,8,5,10,10,9,10,7,9
"V406",2,4,2,8,10,1,9,9,1,8
"V407",2,10,7,6,1,5,1,9,4,9
"V408",5,3,4,4,10,4,9,3,1,6
"V409",3,9,9,2,1,1,3,5,3,1
"V410",9,3,2,4,7,7,5,8,4,4
"V411",10,10,10,7,9,9,7,3,9,10
"V412",5,6,8,5,2,7,8,7,8,2
"V413",10,5,8,2,7,9,9,3,4,1
"V414",9,9,8,7,5,8,7,8,2,8
"V415",5,8,5,1,5,8,5,2,2,8
"V416",4,4,10,7,8,6,6,6,1,6
"V417",8,3,6,3,1,7,3,7,3,6
"V418",5,2,1,4,3,3,4,10,7,4
"V419",6,2,6,3,5,6,1,2,2,6
"V420",6,3,4,2,9,2,5,3,3,2
"V421",2,3,7,9,5,6,9,9,3,2
"V422",1,7,7,3,1,1,4,3,4,9
"V423",10,2,1,5,4,9,1,7,3,3
"V424",3,9,9,4,3,3,4,7,7,8
"V425",10,5,6,7,7,7,2,4,8,1
"V426",1,1,6,5,8,10,7,8,2,6
"V427",3,3,2,4,7,2,2,3,9,7
"V428",7,5,6,4,3,10,8,5,4,7
"V429",4,2,1,1,10,10,10,6,7,8
"V430",4,2,6,10,10,9,1,8,9,1
"V431",2,3,2,9,9,9,9,8,8,3
"V432",7,6,9,9,6,4,5,10,5,1
"V433",9,9,2,1,2,2,8,5,3,6
"V434",10,8,8,4,6,4,7,3,2,6
"V435",4,6,9,2,1,3,8,4,3,5
"V436",10,5,4,8,8,9,9,5,1,6
"V437",9,5,1,2,2,5,4,5,10,2
"V438",9,4,2,7,1,7,3,6,7,6
"V439",7,5,3,4,9,3,3,2,3,8
"V440",2,2,3,2,5,9,1,3,6,6
"V441",10,9,1,5,8,6,5,1,2,10
"V442",1,2,1,7,7,2,2,5,7,1
"V443",3,1,10,9,3,6,4,8,5,7
"V444",9,5,2,7,1,3,10,6,8,10
"V445",4,7,9,9,4,6,6,4,7,10
"V446",7,8,6,3,2,9,6,3,7,4
"V447",6,1,1,1,5,1,7,9,6,3
"V448",9,2,9,10,5,4,10,1,9,9
"V449",8,4,5,5,2,2,7,4,9,6
"V450",6,6,4,7,5,1,8,2,6,6
"V451",8,4,7,2,7,9,3,5,6,8
"V452",9,2,7,7,1,4,6,1,5,9
"V453",10,6,8,5,7,2,8,4,1,1
"V454",10,1,1,8,4,2,1,7,4,1
"V455",6,7,5,9,5,10,2,5,7,10
"V456",10,4,7,5,1,2,4,1,5,1
"V457",7,9,9,2,5,8,8,4,4,2
"V458",2,2,2,3,2,1,4,10,1,3
"V459",4,2,7,9,1,6,4,2,4,3
"V460",7,1,5,4,8,1,3,4,3,5
"V461",6,6,8,7,6,2,6,6,8,5
"V462",6,8,1,1,4,7,4,4,5,3
"V463",8,10,9,9,1,6,1,8,4,4
"V464",5,10,3,10,1,4,3,7,10,5
"V465",2,4,6,8,7,6,3,2,10,7
"V466",5,5,8,3,1,10,1,5,4,10
"V467",4,3,5,5,7,3,2,6,4,8
"V468",5,2,7,5,10,7,5,10,7,7
"V469",2,5,6,7,4,3,2,7,8,5
"V470",7,5,3,2,4,8,1,4,7,2
"V471",9,7,7,7,10,4,10,5,6,7
"V472",8,8,1,1,10,10,3,8,9,8
"V473",1,9,5,1,2,3,5,1,3,6
"V474",4,2,8,10,3,8,10,3,1,6
"V475",4,7,1,1,7,10,6,2,2,4
"V476",1,2,9,5,5,4,7,7,5,10
"V477",10,3,9,8,2,7,6,1,5,6
"V478",7,10,7,6,6,8,8,4,4,1
"V479",5,7,8,10,1,1,5,9,4,1
"V480",4,10,6,4,4,6,9,5,6,2
"V481",3,2,5,2,4,2,4,10,9,8
"V482",3,5,3,8,1,5,1,9,10,5
"V483",4,5,2,9,9,4,2,8,2,4
"V484",3,1,5,6,1,10,4,6,2,10
"V485",1,7,4,2,7,6,10,7,2,7
"V486",8,5,9,5,3,2,3,3,1,5
"V487",9,3,8,4,4,5,2,9,4,9
"V488",5,1,1,1,8,5,5,2,3,7
"V489",8,5,6,2,2,6,6,2,1,10
"V490",6,2,1,2,1,9,5,9,2,2
"V491",10,4,3,7,8,1,1,1,10,5
"V492",9,2,4,9,2,8,9,9,10,4
"V493",1,4,4,6,4,8,8,1,7,1
"V494",4,3,6,5,9,6,5,5,9,5
"V495",5,5,4,1,2,4,3,2,4,6
"V496",6,6,8,2,4,1,4,9,7,1
"V497",9,6,3,1,6,10,10,9,3,7
"V498",1,5,5,4,4,2,2,7,5,8
"V499",3,1,4,3,2,3,6,5,4,8
"V500",2,6,3,7,9,3,10,5,4,1
"V501",2,4,1,6,8,2,1,7,3,2
"V502",6,5,9,9,6,3,3,4,6,8
"V503",8,6,10,7,7,10,5,1,5,3
"V504",9,10,9,6,6,7,2,5,7,10
"V505",4,7,9,3,7,5,2,9,10,7
"V506",2,7,10,7,5,1,4,10,6,4
"V507",6,7,7,8,6,6,8,3,4,6
"V508",10,10,10,4,9,8,9,2,3,7
"V509",10,5,5,6,4,4,9,9,2,4
"V510",7,3,3,6,7,6,7,4,4,6
"V511",1,7,8,8,10,6,5,9,6,1
"V512",9,9,1,6,4,2,8,5,8,4
"V513",9,3,7,1,1,5,10,7,2,10
"V514",5,5,10,7,1,3,5,5,6,6
"V515",5,1,10,7,5,10,4,6,5,6
"V516",5,3,8,9,7,10,1,4,2,5
"V517",4,4,4,4,4,9,1,8,2,8
"V518",10,4,7,8,6,7,2,1,5,8
"V519",4,8,10,2,1,6,10,8,6,10
"V520",10,8,10,5,6,8,4,4,10,3
"V521",10,1,4,8,6,8,5,5,1,8
"V522",9,3,8,3,10,9,4,4,9,8
"V523",8,5,10,5,8,9,10,9,6,9
"V524",10,2,10,7,1,2,10,10,9,7
"V525",9,8,5,5,6,10,1,8,1,1
"V526",6,4,6,3,7,6,10,8,3,1
"V527",1,6,8,5,6,2,3,6,7,5
"V528",3,8,9,3,4,3,4,5,5,5
"V529",6,7,6,9,3,7,7,1,1,4
"V530",9,3,4,8,2,3,9,1,6,10
"V531",8,3,10,10,3,2,1,8,1,5
"V532",6,7,5,9,4,4,6,6,8,3
"V533",1,2,2,6,10,2,3,3,8,6
"V534",3,5,7,9,5,2,4,8,6,1
"V535",9,6,1,9,5,6,10,7,10,3
"V536",7,1,9,1,5,5,4,3,4,10
"V537",3,1,7,9,5,5,3,8,3,1
"V538",5,9,3,10,9,1,9,6,7,7
"V539",9,4,10,4,6,9,8,3,9,6
"V540",6,10,2,7,5,6,5,6,3,9
"V541",10,6,1,3,3,9,8,2,2,10
"V542",6,2,10,3,9,7,4,8,8,5
"V543",7,9,1,9,9,10,6,8,7,1
"V544",5,3,5,2,7,10,5,5,3,3
"V545",7,1,6,2,8,3,7,5,4,7
"V546",8,1,5,9,1,5,5,5,10,5
"V547",10,3,5,6,4,2,10,9,7,8
"V548",6,9,10,6,8,2,6,5,10,6
"V549",6,6,9,8,3,2,3,8,3,2
"V550",3,3,8,5,4,4,2,5,7,1
"V551",4,6,6,9,4,5,9,1,6,1
"V552",3,4,3,6,9,8,3,1,5,10
"V553",3,3,3,4,7,2,4,4,1,2
"V554",8,4,1,10,1,1,7,10,10,10
"V555",9,10,8,2,2,5,1,10,4,2
"V556",8,5,10,6,5,1,4,2,5,7
"V557",4,2,1,9,9,5,6,3,1,6
"V558",5,4,7,4,2,6,1,4,1,4
"V559",1,5,3,8,10,8,9,8,6,9
"V560",8,2,6,3,1,10,3,10,9,9
"V561",3,7,6,2,4,2,7,2,1,10
"V562",3,2,6,5,7,1,4,5,1,9
"V563",10,8,3,10,2,3,4,3,6,5
"V564",10,5,8,3,6,1,3,6,6,6
"V565",2,10,8,5,3,10,9,3,1,6
"V566",4,10,5,7,7,7,1,6,3,5
"V567",2,1,2,1,8,6,5,9,3,3
"V568",4,2,2,8,2,2,5,2,5,7
"V569",2,9,2,6,6,3,1,5,4,5
"V570",7,4,3,3,2,7,3,6,7,2
"V571",7,4,8,8,2,5,7,6,1,2
"V572",4,1,1,10,2,10,8,3,5,5
"V573",5,5,10,9,4,6,10,9,2,1
"V574",3,6,2,6,3,3,1,1,9,4
"V575",5,2,4,3,7,9,5,1,2,5
"V576",10,8,5,8,10,9,1,7,8,8
"V577",8,6,5,2,4,1,2,7,7,8
"V578",9,8,10,4,4,3,3,1,8,9
"V579",6,9,9,4,2,2,5,3,10,7
"V580",9,10,6,7,5,2,6,6,10,8
